Indicator,Geolocation,Level of Education,Sex,2018,2019,2020,2021,2022,2023
4.1.s1 Cohort survival rate,PHILIPPINES,Elementary,Both Sexes,97.4,97.2,83,100,99.7,93.5
4.1.s1 Cohort survival rate,PHILIPPINES,Elementary,Female,99.1,98.5,85,100,100,95.5
4.1.s1 Cohort survival rate,PHILIPPINES,Elementary,Male,95.7,96,81.2,100,99.5,91.7
4.1.s1 Cohort survival rate,PHILIPPINES,Secondary (Junior High School),Both Sexes,89.5,87,82.8,100,93.6,84
4.1.s1 Cohort survival rate,PHILIPPINES,Secondary (Junior High School),Female,93.6,90.9,86.5,100,95,89
4.1.s1 Cohort survival rate,PHILIPPINES,Secondary (Junior High School),Male,85.4,83.2,79.3,100,92.3,79.3
4.1.s1 Cohort survival rate,PHILIPPINES,Secondary (Senior High School),Both Sexes,82.6,78.7,71.3,100,85.9,75.7
4.1.s1 Cohort survival rate,PHILIPPINES,Secondary (Senior High School),Female,86.2,82.3,76.4,100,87.3,81.4
4.1.s1 Cohort survival rate,PHILIPPINES,Secondary (Senior High School),Male,78.9,75.2,66.4,100,84.6,70.4
4.1.s1 Cohort survival rate,National Capital Region (NCR),Elementary,Both Sexes,99,95.2,69.8,100,94.2,94.8
4.1.s1 Cohort survival rate,National Capital Region (NCR),Elementary,Female,100,95.9,72,100,93.7,95.7
4.1.s1 Cohort survival rate,National Capital Region (NCR),Elementary,Male,97.9,94.4,67.8,100,94.7,93.8
4.1.s1 Cohort survival rate,National Capital Region (NCR),Secondary (Junior High School),Both Sexes,92.8,88.7,74.6,100,97.9,90.3
4.1.s1 Cohort survival rate,National Capital Region (NCR),Secondary (Junior High School),Female,96.1,91.6,78.5,100,97.4,93.6
4.1.s1 Cohort survival rate,National Capital Region (NCR),Secondary (Junior High School),Male,89.5,85.7,70.8,100,98.4,87.2
4.1.s1 Cohort survival rate,National Capital Region (NCR),Secondary (Senior High School),Both Sexes,84.4,78,58.3,97.8,88.7,84.7
4.1.s1 Cohort survival rate,National Capital Region (NCR),Secondary (Senior High School),Female,88.4,81,63.8,99.3,89.2,87.7
4.1.s1 Cohort survival rate,National Capital Region (NCR),Secondary (Senior High School),Male,80.4,75,53.1,96.2,88.2,81.9
4.1.s1 Cohort survival rate,Cordillera Administration Region (CAR),Elementary,Both Sexes,97.7,96.7,94.9,99.8,99,97.1
4.1.s1 Cohort survival rate,Cordillera Administration Region (CAR),Elementary,Female,98.8,98,95.9,100,99.6,98.8
4.1.s1 Cohort survival rate,Cordillera Administration Region (CAR),Elementary,Male,96.5,95.6,94,99.4,98.2,95.6
4.1.s1 Cohort survival rate,Cordillera Administration Region (CAR),Secondary (Junior High School),Both Sexes,88.1,84.4,88.8,100,95,85.5
